adm1,adm2,adm2ar,lat,lon
Sharkia,10 Ramadan 1,قسم اول مدينة العاشر من رمضان,30.2857491,31.7401173
Sharkia,10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,30.3067368,31.7328598
Cairo,15 Mayu,قسم  15 مايو,29.8374417,31.3622934
Giza,6 October-1,قسم أول 6 أكتوبر,29.9786676,30.9417905
Giza,6 October-2,قسم ثان 6 أكتوبر,29.9681192,30.8984252
New Valley,A-Dakhla Oasis,مركز الوحات الداخلة,25.495308,28.980115
Alexandria,A L Labban,قسم  اللبان,31.1906937,29.8959409
Cairo,Abdin,قسم عابدين,30.043631,31.249293
Assiut,Abnub,مركز أبنوب,27.2630766,31.1475896
Kalyoubia,Abour,قسم العبور,30.2361038,31.4735579
Fayoum,Abshaway,مركز أبشواى,29.362381,30.444877
Behera,Abu-l-Matamir,مركز ابوالمطامير,30.912693,30.176128
Sharkia,Abu Hammad,مركز أبو حماد,30.5328311,31.6729847
Behera,Abu Hummus,مركز ابوحمص,31.098422,30.310869
Sharkia,Abu Kabir,مركز أبوكبير,30.7319916,31.6700649
South Sinai,Abu Radis,قسم أبو رديس,27.9158175,34.3299505
Aswan,Abu Simbel,مركز أبوسنبل,22.351965,31.611888
Assiut,Abu Tig,مركز أبوتيج,27.0324009,31.3026883
Qena,Abu Tisht,مركز أبو طشت,26.117926,32.095347
Aswan,Adfu,مركز أدفو,24.979422,32.879894
Dakahlia,Aga,مركز أجا,30.938865,31.292054
Beni Suef,Ahnasya,مركز أهناسيا,29.0907493,30.9405936
Cairo,Ain Shams,قسم عين شمس,30.1142176,31.3309449
Suhag,Akhmim,مركز أخميم,26.565599,31.749547
Suhag,Akhmim City,مدينة أخميم الجديدة,26.565599,31.749547
Assiut,Al- Badari,مركز البدارى,26.9915774,31.4155591
Giza,Al-Aguza,قسم العجوزة,30.0466433,31.2171012
Giza,Al-Ahram,قسم الأهرام,29.9823898,31.1433126
Port Said,Al-Arab,قسم العرب,31.2667668,32.2982168
Suez,Al-Arbiin,قسم الأربعين,29.9721278,32.5495153
Menoufia,Al-Bagur,مركز الباجور,30.427259,31.0369151
Suhag,Al-Balyana,مركز البلينا,26.232986,32.002218
Port Said,Al-Dawahy ,قسم الضواحى,31.250021,32.281817
Behera,Al-Dilingat,مركز الدلنجات,30.8301989,30.5241609
Suez,Al-Ganayin,قسم الجناين,30.028693,32.557897
Port Said,Al-Ganoub,قسم الجنوب,31.104637,32.301141
Port Said,Al-Ganoub 2,قسم ثان الجنوب,29.3027078,30.8293319
Assiut,Al-Ghanayem,مركز الغنايم,26.882966,31.319994
Matrouh,Al-Hammam,قسم الحمام,30.846425,29.381733
North Sinai,Al-Hasna,قسم الحسنة,30.465565,33.784412
Sharkia,Al-Husayniya,مركز الحسينية,30.8610287,31.9128776
New Valley,Al-Kharga Oasis,مركز الواحات الخارجة,24.65435,30.59557
Behera,Al-Mahmudiyya,مركز المحمودية,31.1854995,30.5274761
Port Said,Al-Manasra,قسم المناصرة,31.334749,32.109051
Suhag,Al-Maragha ,مركز المراغة,26.6955039,31.6053577
Suhag,Al-Minshat,مركز المنشأة,26.4743327,31.8013605
Port Said,Al-Munakh,قسم المناخ,31.260506,32.264777
Sharkia,Al-Qanayat,قسم القنايات,30.616623,31.4598066
Assiut,Al-Qusia,مركز القوصية,27.4401791,30.8207035
Behera,Al-Rahmaniyya,مركز الرحمانية,31.105467,30.6423468
Sharkia,Al-Salhiyya,قسم الصالحية الجديدة,30.6321436,31.9410004
Port Said,Al-Sharq,قسم الشرق,30.1318108,31.2704156
Menoufia,Al-Shuhada,مركز الشهداء,30.590607,30.899466
South Sinai,Al-Tur,قسم الطور,28.2346834,33.6282599
Port Said,Al-Zohour,قسم الزهور,31.260506,32.264777
Alexandria,Al Amreia,قسم  العامرية,31.2284534,29.9473165
Alexandria,Al Attarin,قسم  العطارين,31.194384,29.905466
Cairo,Al Azbakiyya,قسم  الأزبكية,30.060335,31.244071
Cairo,Al Darb al-Ahmar,قسم  الدرب الأحمر,30.037244,31.252018
Alexandria,Al Dikhila,قسم  الدخيلة,31.1240073,29.8127691
New Valley,Al Farafra Oasis,مركز الفرافرة,,
Beni Suef,Al Fashn,مركز الفشن,28.8244069,30.9033781
Alexandria,Al Gumruk,قسم  الجمرك,31.198516,29.882727
Kafr El-Shikh,Al Hamul,مركز الحامول,31.307246,31.1413302
Cairo,Al Khalifa,قسم  الخليفة,30.0307001,31.2559453
Kalyoubia,Al Khanka,مركز الخانكة,30.228923,31.362557
Alexandria,Al Manshiyya,قسم  المنشية,31.1788926,29.9371714
Cairo,Al Matariyya,قسم المطرية,30.114024,31.298251
Alexandria,Al Raml,قسم أول الرمل,31.2284534,29.9473165
Cairo,Al Sahil,قسم الساحل,30.0849865,31.2456587
Cairo,Al Salam,قسم السلام,30.1586238,31.412883
Cairo,Al Sharabiyya,قسم  الشرابية,30.072756,31.265791
Cairo,Al Tibbin,قسم  التبين,29.781759,31.305551
Suhag,Al Usayrat,مركز العسيرات,26.3929917,31.8229803
Qena,Al Waqf,مركز الوقف,26.0907483,32.4218211
Beni Suef,Al Wasta,مركز الواسطى,29.339653,31.205108
Cairo,Al Wayli,قسم الوايلي,30.068269,31.279905
Cairo,Al Zahir,قسم  الظاهر,30.0646943,31.2650508
Cairo,Al Zaytun,قسم الزيتون,30.100191,31.312183
Matrouh,Alamn,قسم مارينا العلمين السياحية,30.8153572,29.1107096
Assiut,Alfath,مركز الفتح,27.204817,31.195732
Qena,Armant,مركز أرمنت,25.6034503,32.503269
Menoufia,Ashmun,مركز أشمون,30.293611,30.982027
Assiut,Assuit,مركز أسيوط,27.1820262,31.1969501
Assiut,Assuit City,مدينة اسيوط الجديدة,27.2695944,31.2932659
Aswan,Aswan,قسم أسوان,24.094324,32.897977
Aswan,Aswan,مركز أسوان,24.4808898,32.9484487
Aswan,Aswan City,مدينة أسوان الجديدة,24.094324,32.897977
Suez,Ataqa,قسم عتاقة,29.9466053,32.490381
Giza,Atfeh,مركز أطفيح,29.4065248,31.2427277
Fayoum,Atsa,مركز أطسا,29.240365,30.794611
Giza,Auseem,مركز أوسيم,30.1229391,31.1358702
Sharkia,Awlad Saqr,مركز أولاد صقر,30.926499,31.695634
Giza,Ayat,مركز العياط,29.6202709,31.2550132
Cairo,Bab Al-Shariyya,قسم  باب الشعرية,30.057541,31.260408
Alexandria,Bab Sharqi,قسم  باب شرقى,31.201961,29.917329
Cairo,Badr,قسم بدر,30.1364312,31.7112851
Behera,Badr,مركز بدر,30.5745336,30.7185533
Giza,Badrashain,مركز البدرشين,29.847358,31.273919
Giza,Bahariya Oasis,قسم الواحات البحرية,28.349828,28.867741
Kalyoubia,Banha,قسم بنها,30.4784147,31.182266
Kalyoubia,Banha,مركز بنها,30.4403317,31.1713368
Beni Suef,Bani Swayf,قسم بنى سويف,29.0936519,31.1040474
Beni Suef,Bani Swayf,مركز بنى سويف,29.0936519,31.1040474
Beni Suef,Bani Swayf City,قسم مدينة بنى سويف الجديدة,29.0936519,31.1040474
Dakahlia,Bany Abeed,مركز بنى عبيد,31.021572,31.648974
Cairo,Basatin,قسم  البساتين,29.9914833,31.2670563
Gharbia,Basyun,مركز بسيون,30.936888,30.811699
Beni Suef,Biba,مركز ببا,28.925087,30.982729
Sharkia,Bilbis,مركز بلبيس,30.422646,31.559365
Dakahlia,Bilqas,مركز بلقاس,31.218552,31.353894
North Sinai,Bir Al-Abd,قسم بئر العبد,30.8198635,33.1688883
Menoufia,Birkat Al-Sab,مركز بركة السبع,30.6379616,31.0857876
Kafr El-Shikh,Biyalu,مركز بيلا,31.166474,31.230311
Cairo,Bulaq,قسم بولاق,30.027396,31.199944
Giza,Bulaq Al-DakrUr,قسم بولاق الدكرور,30.027396,31.199944
Alexandria,Burg al-Arab,قسم  برج العرب,30.8833739,29.5750558
Alexandria,Burg Al-Arab City,مدينه برج العرب الجديده,30.8840251,29.5738441
Kafr El-Shikh,Burullus,مركز البرلس,31.5991667,31.0916667
Matrouh,Daba,مركز الضبعة,27.4401791,30.8207035
South Sinai,Dahab,قسم دهب,28.4951076,34.5171722
Behera,Damanhur,قسم دمنهور,31.029433,30.4696567
Behera,Damanhur,مركز دمنهور,31.029433,30.4696567
Suhag,Dar al-Salam ,مركز دار السلام,26.2737331,32.0666997
Aswan,Daraw,مركز دراو,24.4058678,32.9224795
Assiut,Dayrut,مركز ديروط,27.5502358,30.8077635
Dakahlia,Dikirnis,مركز دكرنس,31.0889539,31.6024374
Qena,Dishna,مركز دشنا,26.1166667,32.4833333
Kafr El-Shikh,Disuq,قسم دسوق,31.132345,30.645026
Kafr El-Shikh,Disuq,مركز دسوق,31.1324016,30.6451586
Damietta,Dumyat,مركز دمياط,31.4342036,31.8099294
Damietta,Dumyat 1,قسم أول دمياط,31.4249571,31.8196116
Damietta,Dumyat 2,قسم ثان دمياط,31.4248372,31.8195555
Damietta,Dumyat Al-Gadida,قسم مدينه دمياط الجديده,31.441049,31.68308
Giza,DuqqI,قسم الدقي,30.0391348,31.218904
Sharkia,Dyarb Nigm,مركز ديرب نجم,30.752693,31.458838
Dakahlia,E Mansora 2,قسم ثان المنصورة,31.0432766,31.3929338
Sharkia,El-Ibrahimiya,مركز الأبراهيمية,30.722072,31.566349
North Sinai,El Arish 1,قسم أول العريش,31.132093,33.8032762
North Sinai,El Arish 2,قسم ثان العريش,31.141685,33.800337
North Sinai,El Arish 3,قسم ثالث العريش,31.132093,33.8032762
North Sinai,El Arish 4,قسم رابع العريش,31.1219859,33.8031568
Gharbia,El Mahalla El Kobra,مركز المحله الكبرى,30.979343,31.190717
Gharbia,El Mahalla El Kobra 1,قسم أول المحلة الكبرى,30.9751346,31.1671615
Gharbia,El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,30.9662381,31.1633745
Dakahlia,El Mansora,مركز المنصورة,31.0441736,31.3960346
Dakahlia,El Mansora 1,قسم اول المنصورة,31.0468888,31.379629
Sharkia,Faqus,قسم فاقوس,30.7303051,31.7923482
Sharkia,Faqus,مركز فاقوس,30.7303051,31.7923482
Damietta,Fariskur,مركز فارسكور,31.242531,31.8041486
Qena,Farshut,مركز فرشوط,26.055228,32.168119
Ismailia,Fayid,مركز فايد,30.5899265,32.2748474
Suez,Faysal,قسم فيصل,30.1999078,32.3107517
Fayoum,Fayyum,قسم الفيوم,29.3104297,30.8469081
Fayoum,Fayyum,مركز الفيوم,29.362381,30.444877
Fayoum,Fayyum City,مدينة الفيوم الجديدة,,
Kafr El-Shikh,Fuwwa,مركز فوه,31.208212,30.552471
Cairo,Gamaliyya,قسم  الجمالية,30.049664,31.262641
Dakahlia,Gamaliyya,مركز الجمالية,31.1806366,31.8643154
Dakahlia,Gamsa,قسم جمصة,31.4433142,31.5395701
Suhag,Girga,قسم جرجا,26.3324343,31.8920606
Suhag,Girga,مركز جرجا,26.3324343,31.8920606
Giza,Giza,قسم الجيزة,30.0101517,31.2180591
Giza,Giza,مركز الجيزة,30.0101517,31.2180591
Suhag,Guhayna Al-Gharbiyya,مركز جهينة الغربية,26.6706048,31.5065575
Cairo,Hadaiq Al-Qubba,قسم حدائق القبة,30.093812,31.283958
Red Sea,Halayib,قسم حلايب,,
Sharkia,Hihya,مركز ههيا,30.6736661,31.5859021
Cairo,Hilwan,قسم حلوان,29.8451469,31.3251342
Red Sea,Hurghada 1,قسم أول الغردقة,27.177765,33.822147
Red Sea,Hurghada 2,قسم ثان الغردقة,27.257812,33.801202
Behera,Hush Isa,مركز حوش عيسى,30.915572,30.296664
Giza,Hwamdeia,قسم الحوامدية,29.8977614,31.2704684
Behera,Idku,مركز إدكو,31.3010775,30.3122234
Giza,Imbaba,قسم امبابه,30.0749703,31.221697
Giza,Imbaba,مركز إمبابة,30.0749703,31.221697
Ismailia,Ismailiyya,مركز الاسماعيلية,30.5681202,31.9358517
Ismailia,Ismailiyya 1,قسم أول الاسماعيلية,30.5919926,32.2797278
Ismailia,Ismailiyya 2,قسم ثان الاسماعيلية,30.610951,32.2643995
Ismailia,Ismailiyya 3,قسم ثالث الاسماعيلية,30.6025401,32.2929455
Qena,Isna,مركز إسنا,25.2915808,32.5550206
Behera,Itay Al-Barud,مركز إيتاى البارود,30.8855731,30.6651073
Behera,Kafr Al-Dawwar,قسم كفرالدوار,31.1428811,30.1172349
Behera,Kafr Al-Dawwar,مركز كفر الدوار,31.1428811,30.1172349
Kafr El-Shikh,Kafr Al-Shaykh,قسم كفر الشيخ,31.107357,30.947547
Kafr El-Shikh,Kafr Al-Shaykh,مركز كفر الشيخ,31.166474,31.230311
Gharbia,Kafr Al-Zayyat,مركز كفر الزيات,30.8855731,30.6651073
Damietta,Kafr Sad,مركز كفر سعد,31.352397,31.686753
Sharkia,Kafr Saqr,مركز كفر صقر,30.7782925,31.6368663
Kalyoubia,Kafr Shukr,مركز كفر شكر,30.5525838,31.2740813
Giza,Kardasa,مركز كرداسة,30.0311849,31.1110219
Alexandria,Karmuz,قسم  كرموز,31.182032,29.8993593
Suhag,Kawther,قسم الكوثر,26.614116,31.782476
Menia,Kesm Al-minya,قسم المنيا,28.0898474,30.7633444
Assiut,Kesm Awal Assuit,قسم أول أسيوط,27.1716491,31.1810127
Menia,Kesm Mallawi,قسم ملوى,27.735267,30.8432547
Suhag,Kesm Tahta,قسم طهطا,26.770104,31.491183
Alexandria,Kesm than Al Raml,قسم ثان الرمل,31.2284534,29.9473165
Assiut,Kesm Than Assuit,قسم ثان أسيوط,27.1716491,31.1810127
Kalyoubia,Khsos,قسم الخصوص,30.158257,31.317381
Behera,Kum Hamada,مركز كوم حمادة,30.5745336,30.7185533
Aswan,Kum Umbu,مركز كوم امبو,24.4808898,32.9484487
Luxor,Luxor,قسم الأقصر,25.685221,32.633294
Luxor,Luxor,مركز الأقصر,25.6626085,32.6317515
Cairo,Maadi,قسم المعادي,29.9601522,31.2621895
Cairo,Madinat Nasr-2,قسم  ثان مدينة نصر,30.0503728,31.312214
Dakahlia,Mahalet Demna,مركز محلة دمنة,31.0748045,31.4886644
Assiut,Manfalut,مركز منفلوط,27.308678,30.965987
Dakahlia,Manzala,مركز المنزلة,31.1597217,31.9495614
Cairo,Marg,قسم المرج,30.154689,31.336516
Menia,Markz Abu Qurqas,مركز ابو قرقاص,27.928041,30.819458
Menia,Markz Al Idwa,مركز العدوة,28.695266,30.772699
Menia,Markz Al Minya,مركز المنيا,28.089355,30.7632047
Menia,Markz Bani Mazar,مركز بنى مزار,28.497474,30.804478
Menia,Markz Dir Mawas,مركز دير مواس,27.642852,30.856528
Menia,Markz Maghagha,مركز مغاغة,28.647809,30.844247
Menia,Markz Mallawi,مركز ملوى,27.735267,30.8432547
Menia,Markz Matay,مركز مطاى,28.4225742,30.7729018
Menia,Markz Samalut,مركز سمالوط,28.297814,30.7116561
Red Sea,Marsa Alam,قسم مرسى علم,,
Matrouh,Marsa Matruh,قسم مرسى مطروح,31.3554739,27.2413301
Sharkia,Mashtul Al-Suq,مركز مشتول السوق,30.3591043,31.3826149
Dakahlia,Matariyya,مركز المطرية,31.0441736,31.3960346
Alexandria,Mina Al-Basal,قسم  مينا البصل,31.1850519,29.8885488
Cairo,Minshat Nasir,منشأة ناصر,30.0362303,31.2782522
Menoufia,Minuf,مركز منوف,30.4558722,30.9315071
Menoufia,Minuf City,قسم مدينة منوف,30.443811,30.958282
Dakahlia,Minya Al-Nasr,مركز منية النصر,31.1236233,31.6522075
Sharkia,Minya al-Qamh,مركز منيا القمح,30.5192558,31.3444692
Cairo,Misr al-Gadida,قسم مصر الجديدة,30.0975138,31.328273
Cairo,Misr Al-Qadima,مصر القديمة,30.0011413,31.2316026
Dakahlia,Mit Ghamr,قسم ميت غمر,30.7149011,31.2530736
Dakahlia,Mit Ghamr,مركز ميت غمر,30.7149011,31.2530736
Dakahlia,MIt Salsil,مركز ميت سلسيل,31.166431,31.807206
Kafr El-Shikh,Mitubas,مركز مطوبس,31.2872804,30.5244577
Port Said,Mubark-Sharq Tafrea,قسم مبارك - شرق التفريعة,31.2345179,32.2897227
Alexandria,Muharam Bik,قسم  محرم بك,31.1922026,29.91852
Alexandria,Muntazah,قسم  المنتزة,31.246401,29.980683
Cairo,Muski,قسم الموسكي,30.049621,31.249891
Qena,Nag Hammadi,مركز نجع حمادى,26.0518832,32.2433573
North Sinai,Nakhl,قسم نخل,29.9100729,33.7470925
Qena,Naqada,مركز نقادة,25.903309,32.722193
Beni Suef,Nasir,مركز ناصر,29.1452731,31.1370228
Aswan,Nasr,مركز نصر,29.1452731,31.1370228
Cairo,Nasr City,قسم أول مدينة نصر,30.0688775,31.3412952
Dakahlia,Nebro,مركز نبروة,31.098634,31.306598
Cairo,New Cairo-1,قسم أول القاهرة الجديدة,29.9965617,31.4250826
Cairo,New Cairo-2,قسم ثان القاهرة الجديدة,30.0589194,31.4454571
Cairo,New Cairo-3,قسم ثالث القاهرة الجديدة,29.9817291,31.4207072
Menia,New Minya,مدينة المنيا الجديدة,28.647809,30.844247
Alexandria,North Coast,الساحل الشمالى,30.820126,29.021111
Matrouh,North Coast,قسم الساحل الشمالى-جزء,,
Behera,Nubariyya West,قسم غرب النوبارية,30.6758365,30.0728289
South Sinai,Nuweiba,قسم نويبع,29.033993,34.663465
Cairo,Nuzha,قسم النزهة,30.1071289,31.341733
New Valley,Paris Paris,مركز باريس,24.65435,30.59557
Damietta,Police Department Port of Damietta,إداره شرطه ميناء دمياط الجديد,,
Port Said,Police Department Port Said Port,إدارة شرطة ميناء بورسعيد,31.2598434,32.3027337
Alexandria,Port Alexandria Police Department,اداره شرطه ميناء الأسكندريه,31.1820216,29.8793563
Port Said,Port Fuad,قسم بور فؤاد,31.2326054,32.3162386
Port Said,Port Fuad 2,قسم ثان بور فؤاد,31.2326054,32.3162386
Suez,Port Suez Police Department,إدارة شرطة ميناء السويس,,
Kalyoubia,Qaha,قسم قها,30.286308,31.204691
Kalyoubia,Qalyub,قسم قليوب,30.175874,31.214926
Kalyoubia,Qalyub,مركز قليوب,30.175874,31.214926
Kalyoubia,Qanatir Al-Khayriyya,مركز القناطر الخيرية,30.193965,31.123042
Ismailia,"Qantara Gharb, al-",مركز القنطرة,30.857159,32.313328
Ismailia,"Qantara Sharq, al-",قسم القنطرة شرق,30.884175,32.3637378
North Sinai,Qasima,قسم القسيمة,30.666959,34.368119
Cairo,Qasr Al-Nile,قسم  قصر النيل,30.0349964,31.2318734
Qena,Qift,مركز قفط,25.994336,32.806428
Kafr El-Shikh,Qillin,مركز قلين,31.050861,30.841594
Qena,Qina,قسم قنا,26.155061,32.7160121
Qena,Qina,مركز قنا,26.0907483,32.4218211
Qena,Qina City,مدينة قنا الجديدة,26.182011,32.749705
Sharkia,Qurin,قسم القرين,30.6062786,31.748042
Qena,Qus,مركز قوص,25.9193008,32.7592641
Red Sea,Qusir,قسم القصير,26.103544,34.285193
Gharbia,Qutur,مركز قطور,30.967008,30.959718
Menoufia,Quwisna,مركز قويسنا,30.5651672,31.1578769
North Sinai,Rafah,قسم رفح,31.2585313,34.2363743
Damietta,Ras al-Bar,قسم رأس البر,31.5088135,31.8324611
Red Sea,Ras Gharib,قسم رأس غارب,28.3657898,33.0806916
South Sinai,Ras Sidr,قسم رأس سدر,29.592364,32.717642
Behera,Rashid,مركز رشيد,31.4044615,30.4230389
Kafr El-Shikh,Riyad,مركز الرياض,31.241403,30.944931
Cairo,Rud Al-Farag,قسم روض الفرج,30.0722502,31.2402393
North Sinai,Rummana,قسم رمانة,,
Menoufia,Sadat City,مركز السادات,30.371122,30.502572
Giza,Saf,مركز الصف,29.574908,31.282185
Red Sea,Safaga,قسم سفاجا,26.761762,33.941845
Assiut,Sahil Silim,مركز ساحل سليم,27.062449,31.336962
Matrouh,Salloum,قسم السلوم,31.560379,25.158761
Gharbia,Samannud,مركز سمنود,30.964236,31.243031
South Sinai,Sant Katrin,قسم سانت كاترين,28.556794,33.9452769
Gharbia,Santa,مركز السنطة,30.7473095,31.1305458
Suhag,Saqulta,مركز ساقلته,26.660621,31.673209
Cairo,Sayyida Zainab,قسم  السيدة زينب,30.0317992,31.2433269
Red Sea,Shallatin,قسم شلاتين,,
South Sinai,Sharm el-Sheikh,قسم شرم الشيخ,27.861431,34.303566
Giza,Shaykh Zayed,قسم الشيخ زايد,30.0412024,30.9747575
North Sinai,Shaykh Zuwayd,قسم الشيخ زويد,31.210835,34.109481
Menoufia,Shibin al-Kum,قسم شبين الكوم,30.5578928,31.0068851
Menoufia,Shibin al-Kum,مركز شبين الكوم,30.5578928,31.0068851
Kalyoubia,Shibin al-Qanatir,مركز شبين القناطر,30.3140565,31.3144729
Dakahlia,Shirbin,مركز شربين,31.1940809,31.5226346
Cairo,Shroq,قسم الشروق,30.170315,31.643555
Cairo,Shubra,قسم شبرا,30.066643,31.246579
Kalyoubia,Shubra Al-Khayma 1,قسم أول شبرا الخيمة,30.1202409,31.243583
Kalyoubia,Shubra Al-Khayma 2,قسم ثان شبرا الخيمة,30.1233853,31.2609288
Behera,Shubra Khit,مركز شبراخيت,31.028413,30.715083
Assiut,Sidfa,مركز صدفا,26.9644878,31.3781705
Matrouh,Sidi Barani,قسم سيدى برانى,,
Alexandria,Sidi Gabir,قسم  سيدى جابر,31.2150992,29.9372645
Kafr El-Shikh,Sidi Salim,مركز سيدى سالم,31.270898,30.792603
Dakahlia,Sinbillawin,مركز السنبلاوين,30.8836222,31.459596
Fayoum,Sinuras,مركز سنورس,29.4079942,30.8635592
Menoufia,Sirs Al-Layyana City,قسم مدينة سرس الليانة,30.443811,30.958282
Matrouh,Siwa,مركز سيوة,29.2045954,25.5193412
Suez,Suez ,قسم السويس,29.9811144,32.5162352
Suhag,Suhag,قسم اول سوهاج,26.5462922,31.7003998
Suhag,Suhag,مركز سوهاج,26.6670858,31.5019373
Suhag,Suhag-2,قسم ثان سوهاج,26.5611619,31.6892649
Suhag,Suhag City,مدينة سوهاج الجديدة,26.437932,31.6662384
Beni Suef,Sumusta,مركز سمسطا,28.9490848,30.8613785
South Sinai,Taba,قسم طابا,29.494379,34.892556
Suhag,Tahta,مركز طهطا,26.770104,31.491183
Ismailia,"Tal al-Kabir, al-",مركز التل الكبير,30.5681202,31.9358517
Menoufia,Tala,مركز تلا,30.6795086,30.9427433
Dakahlia,Talkha,مركز طلخا,31.0501645,31.3803465
Suhag,Tama,مركز طما,26.900417,31.437576
Dakahlia,Tamy Al-Amdid,مركز تمى الأمديد,30.9451866,31.530845
Fayoum,Tamya,مركز طامية,29.4778521,30.953656
Gharbia,Tanta,مركز طنطا,30.785592,30.9974031
Gharbia,Tanta 1,قسم أول طنطا,30.785592,30.9974031
Gharbia,Tanta 2,قسم ثان طنطا,30.7852709,31.0045212
Luxor,Tiba police station,مركز شرطة طيبة,29.9603008,31.311814
Kalyoubia,Tukh,مركز طوخ,30.358396,31.1972542
Cairo,Tura,قسم  طره,29.9474059,31.2825162
Aswan,Tushaka,مدينة توشكى الجديدة,22.8150129,31.4780402
Giza,Umraniyya,قسم العمرانية,29.9932051,31.1905899
Behera,Wadi Al-NatrUn,مركز وادى النطرون,30.393761,30.370628
Giza,Waraq,قسم الوراق,30.0969938,31.2111216
Fayoum,Yousef El sadeq,مركز يوسف الصديق,29.362381,30.444877
Cairo,Zamalik,قسم الزمالك,30.0555616,31.219642
Sharkia,Zaqaziq,مركز الزقازيق,30.5898126,31.5090757
Sharkia,Zaqaziq 1,قسم اول الزقازيق,30.5898126,31.5090757
Sharkia,Zaqaziq 2,قسم ثان الزقازيق,30.590328,31.504101
Damietta,Zarqa,مركز الزرقا,31.209603,31.636759
Cairo,Zawiyya Al-Hamra,قسم الزاوية الحمراء,30.0974743,31.262744
Cairo,Zemam Out,خارج الزمام,,
Alexandria,Zemam Out,خارج الزمام,,
Sharkia,Zemam Out,خارج الزمام,,
Kalyoubia,Zemam Out,خارج الزمام,,
Behera,Zemam Out,خارج الزمام,,
Giza,Zemam Out,خارج الزمام,,
Beni Suef,Zemam Out,خارج الزمام,,
Fayoum,Zemam Out,خارج الزمام,,
Menia,Zemam Out,خارج الزمام,,
Aswan,Zemam Out,خارج الزمام,,
Luxor,Zemam Out,خارج الزمام,,
Assiut,Zemam Out,صحراء أسيوط,,
Suhag,Zemam Out,صحراء سوهاج,,
Qena,Zemam Out,صحراء قنا,,
Gharbia,Zifta,مركز زفتى,30.720992,31.245838
